Ruang,NIM,Sesi,Pembimbing,Penguji 1,Penguji 2 (Proporsional)
8,1641720036,2,C_IFR,C_UDR,C_ATF
8,1641720188,3,C_DS,C_IFR,C_ARS
8,1641720021,4,C_UDR,C_IFR,C_ARS
8,1641720075,5,M_DWW,M_HP,M_HED
8,1641720127,6,M_DS,M_HP,M_MEA
8,1641720018,7,M_HP,M_DWW,M_IAM
8,1641720155,8,M_HP,M_DS,M_IAM
1,1641720133,1,I_HJT,I_KPA,I_MUP
1,1641720183,2,I_KPA,I_HJT,I_MUP
1,1641720154,3,C_KPA,C_ELA,C_IAM
1,1641720056,4,C_ELA,C_KPA,C_IAM
1,1641720067,5,I_ELA,I_IDW,I_RDM
1,1641720180,6,I_IDW,I_ELA,I_RDM
1,1641720176,7,I_IDW,I_UN,I_MAH
1,1641720134,8,I_UN,I_IDW,I_ODT
2,1741723001,1,I_OKE,I_ERF,I_MSK
2,1641720089,2,I_OKE,I_ERF,I_MSK
2,1641720087,3,I_ERF,I_OKE,I_MSK
2,1641720152,4,I_ERF,I_OKE,I_APK
2,1741723004,5,V_CR,V_UDR,V_ARS
2,1641720002,6,V_UDR,V_UDR,V_ARS
2,1641720159,7,C_RID,C_DWI,C_ROW
2,1641720015,8,C_DWI,C_RID,C_RKA
3,1641720107,1,C_IFR,C_PYS,C_APK
3,1641720029,2,C_IFR,C_PYS,C_DRY
3,1641720109,3,C_PYS,C_IFR,C_DRY
3,1641720191,4,C_PYS,C_IFR,C_DRY
3,1641720014,5,C_PYS,C_IFR,C_IKP
3,1941727003,6,C_PPA,C_PYS,C_IKP
3,1641720184,7,C_PPA,C_IFR,C_IKP
3,1641720053,8,C_PPA,C_IFR,C_IKP
4,1641720073,1,C_DWI,C_TOM,C_DHS
4,1641720123,2,C_DWI,C_TOM,C_DHS
4,1641720049,3,C_TOM,C_DWI,C_HAR
4,1641720065,4,C_TOM,C_DWI,C_HAR
4,1641720058,5,C_GBP,C_IFR,C_HAR
4,1641720059,6,C_GBP,C_IFR,C_VNW
4,1741723012,7,C_IFR,C_KPA,C_VNW
4,1741723016,8,C_IFR,C_KPA,C_ROW
5,1641720031,1,V_CR,V_ARW,V_MIS
5,1641720187,2,V_CR,V_ARW,V_VIS
5,1641720034,3,V_RWS,V_ARW,V_VIS
5,1641720132,4,V_RWS,V_UDR,V_VNW
5,1641720151,5,V_ARW,V_ARW,V_VNW
5,1641720126,6,V_ARW,V_CR,V_MM
5,1641720099,7,V_UDR,V_CR,V_MM
5,1641720054,8,V_ARW,V_UDR,V_ARS
6,1741723007,1,V_RAA,V_MQ,V_SES
6,1941727005,2,V_MQ,V_RAA,V_SES
6,1641720005,3,C_RAA,C_DS,C_MZA
6,1641720028,4,C_RAA,C_DS,C_MZA
6,1641720177,5,C_TOM,C_DS,C_MAH
6,1641720149,6,C_DS,C_RAA,C_WIS
6,1641720023,7,C_DS,C_RAA,C_WIS
6,1741723015,8,C_DS,C_TOM,C_WIS
7,1641720079,1,C_LA,C_UDR,C_MMH
7,17411723006,2,C_LA,C_UDR,C_MMH
7,1641720170,3,C_LA,C_UDR,C_MIS
7,1641720120,4,C_UDR,C_LA,C_MIS
7,1641720166,5,J_YA,C_LA,J_DHS
7,1741723005,6,J_YA,C_LA,J_ADE
8,1641720169,1,I_DWW,I_UN,I_YP
8,1641720097,2,I_DWW,I_UN,I_ANP
8,1641720122,3,I_GBP,I_DWW,I_HED
8,1641720125,4,I_GBP,I_DWW,I_HED
